Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;insegna;tipo_attivita_ricettiva;MUNICIPIO;LONGIT;LATIT;Location
EA/1165;Via MAROCCO PIETRO N. 11 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MAROCCO PIETRO;11;2265;6;;LORETO ELITE MILANO;Affittacamere;2;9.21266863168;45.4898698167;45.4898698167, 9.21266863168
EA/1168;Via FOPPETTE (DELLE) N. 6 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FOPPETTE (DELLE);6;5143;3;;B E B ABRACADABRA TORTONA;Affittacamere;6;9.1558585949;45.4506954859;45.4506954859, 9.1558585949
EA/1117;Via CIRILLO DOMENICO N. 14 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CIRILLO DOMENICO;14;7133;1;;;Affittacamere;1;9.17215156714;45.4776088901;45.4776088901, 9.17215156714
EA/1099;CORSO MAGENTA N. 12 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;CORSO MAGENTA;12;604;5;;SECONDO PENSIERO;Foresteria Lombarda/Locanda;1;9.17950529869;45.4657929537;45.4657929537, 9.17950529869
EA/1100;PIAZZA DUCA D'AOSTA N. 12 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;PIAZZA DUCA D'AOSTA;12;1200;6;;IL GIRAMONDO;Affittacamere;2;9.20468508365;45.4840269081;45.4840269081, 9.20468508365
EA/1101;Via ALFIERI VITTORIO N. 9 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ALFIERI VITTORIO;9;7120;1;;BNB TOYA;Bed e Breakfast;1;9.17610442454;45.4788060554;45.4788060554, 9.17610442454
EA/1103;Via MONTEVERDI CLAUDIO N. 15 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONTEVERDI CLAUDIO;15;2237;5;;;Affittacamere;3;9.21464810759;45.483568529;45.483568529, 9.21464810759
EA/1075;VIA GIOIA MELCHIORRE N. 66 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA GIOIA MELCHIORRE;66;1108;4;;I AM HERE GIOIA 66;Foresteria Lombarda/Locanda;2;9.20205370407;45.4901312746;45.4901312746, 9.20205370407
EA/1076;Corso GARIBALDI GIUSEPPE N. 64 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso GARIBALDI GIUSEPPE;64;1010;1;;;Affittacamere;1;9.18405092796;45.4760204487;45.4760204487, 9.18405092796
EA/1140;Via ROMAGNOSI GIAN DOMENICO N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ROMAGNOSI GIAN DOMENICO;4;119;2;;MILAN ROYAL SUITES;Affittacamere;1;9.19029082573;45.4686791914;45.4686791914, 9.19029082573
EA/1142;Via ZOJA LUIGI N. 35 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ZOJA LUIGI;35;6222;6;;AFFITTACAMERE SAMIR;Affittacamere;7;9.10645378828;45.4769688675;45.4769688675, 9.10645378828
EA/1122;Via GARIAN N. 20 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GARIAN;20;6119;1;;WASHINGTON APARTMENT;Affittacamere;6;9.15377641345;45.4583179423;45.4583179423, 9.15377641345
EA/1145;Via DESIDERIO N. 26 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via DESIDERIO;26;2565;5;;COLOURS 2;Ostello;3;9.23268063307;45.4848494389;45.4848494389, 9.23268063307
EA/1106;Corso GARIBALDI GIUSEPPE N. 12 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso GARIBALDI GIUSEPPE;12;1010;1;;;Affittacamere;1;9.18391344921;45.4727175389;45.4727175389, 9.18391344921
EA/1107;Via LAZZARONI GIUSEPPINA N. 10 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LAZZARONI GIUSEPPINA;10;1196;6;;;Affittacamere;2;9.2003359608;45.4868331491;45.4868331491, 9.2003359608
EA/1098;Via VANNUCCI ATTO N. 22 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VANNUCCI ATTO;22;4056;1;;;Affittacamere;5;9.19972706713;45.4493782899;45.4493782899, 9.19972706713
EA/1189;Via CANZIO STEFANO;ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CANZIO STEFANO;;2242;15;;KOALA HOSTEL;Ostello;;;;
EA/1192;VIA PIRELLI GIOVANNI BATTISTA N. 26 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA PIRELLI GIOVANNI BATTISTA;26;1195;6;;;Affittacamere;9;9.19776617962;45.4839592264;45.4839592264, 9.19776617962
EA/1193;Via BRIGHENTI COSTANTINO E MARIA N. 17 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BRIGHENTI COSTANTINO E MARIA;17;7257;2;;;Bed e Breakfast;8;9.15354799254;45.4922373244;45.4922373244, 9.15354799254
EA/1345;Via TERTULLIANO N. 37 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TERTULLIANO;37;4094;1;;LA CASA DI LARA;Bed e Breakfast;4;9.21894836175;45.4489899046;45.4489899046, 9.21894836175
EA/1435;Via PROCACCINI GIULIO CESARE N. 45 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PROCACCINI GIULIO CESARE;45;7204;2;;;Bed e Breakfast;8;9.16973415679;45.4825770199;45.4825770199, 9.16973415679
EA/1225;Piazzale CADORNA LUIGI N. 9 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Piazzale CADORNA LUIGI;9;601;1;;;Affittacamere;1;9.17642496537;45.4676762317;45.4676762317, 9.17642496537
EA/1226;Via MEDA GIUSEPPE N. 43 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MEDA GIUSEPPE;43;5242;1;;;Affittacamere;5;9.17871245046;45.4403555823;45.4403555823, 9.17871245046
EA/1227;Via BONI GIACOMO N. 33 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BONI GIACOMO;33;6098;2;;MY CITY HOME;Affittacamere;7;9.15719931658;45.4595662718;45.4595662718, 9.15719931658
EA/1264;Piazzale LORETO N. 7 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Piazzale LORETO;7;2264;1;;CONFORTABLE ROOM IN MILANO LORETO;Bed e Breakfast;2;9.21620535726;45.4865143263;45.4865143263, 9.21620535726
EA/1265;Via VALLAZZE N. 63 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VALLAZZE;63;2250;3;;B&B CAVALIERE;Bed e Breakfast;3;9.22577963192;45.4844491684;45.4844491684, 9.22577963192
EA/1266;Via CARNIA N. 9 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CARNIA;9;2395;2;;LINEA VERDE;Affittacamere;3;9.23608588656;45.4931986409;45.4931986409, 9.23608588656
EA/1267;Via GIAMBELLINO N. 135 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GIAMBELLINO;135;5136;1;;BELLUCCI BED;Bed e Breakfast;6;9.13343038528;45.4455652048;45.4455652048, 9.13343038528
EA/1281;Alzaia NAVIGLIO GRANDE N. 6 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Alzaia NAVIGLIO GRANDE;6;5144;1;;CASA DOLCE CASA;Affittacamere;6;9.17604871488;45.4521729352;45.4521729352, 9.17604871488
EA/1282;Via MONTE CERVINO N. 5 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONTE CERVINO;5;6394;1;;IL GLICINE IN CITTA';Bed e Breakfast;8;9.14967515391;45.4758664681;45.4758664681, 9.14967515391
EA/1283;Via VIVALDI ANTONIO N. 4 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VIVALDI ANTONIO;4;1208;3;;INN -PERFECT VILLA;Affittacamere;2;9.20009346521;45.4912154376;45.4912154376, 9.20009346521
EA/1286;Via BERNARDO DA CANAL N. 24 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BERNARDO DA CANAL;24;1479;2;;DA CANAL B&B;Bed e Breakfast;9;9.17101635799;45.5142334837;45.5142334837, 9.17101635799
EA/1459;Via D'ARAGONA LUDOVICO N. 10 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via D'ARAGONA LUDOVICO;10;2086;5;;;Foresteria Lombarda/Locanda;3;9.2353279457;45.4898234926;45.4898234926, 9.2353279457
EA/1304;Piazza BABILA (SAN) N. 3 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Piazza BABILA (SAN);3;216;6;;SAN LORENZO;Affittacamere;1;9.19716253743;45.4665824301;45.4665824301, 9.19716253743
EA/1359;Viale ARGONNE N. 54 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale ARGONNE;54;3254;1;;B&B ARGONNE 54;Bed e Breakfast;4;9.23299448312;45.4677127811;45.4677127811, 9.23299448312
EA/1214;Via CATALANI ALFREDO N. 75 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CATALANI ALFREDO;75;2425;1;;;Affittacamere;3;9.2244919937;45.4884033075;45.4884033075, 9.2244919937
EA/1426;Corso PORTA ROMANA (DI) N. 44 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso PORTA ROMANA (DI);44;402;1;;;Affittacamere;1;9.19192287402;45.4583557395;45.4583557395, 9.19192287402
EA/1364;VIA POGGIBONSI N. 3 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA POGGIBONSI;3;6601;3;;B&B GAMBARA;Bed e Breakfast;7;9.13948682744;45.4654973728;45.4654973728, 9.13948682744
EA/1203;Via LUPETTA N. 5 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LUPETTA;5;523;4;;LUPETTA 5;Affittacamere;1;9.18657417574;45.4618445602;45.4618445602, 9.18657417574
EA/1243;Via CAPPELLINI ALFREDO N. 23 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CAPPELLINI ALFREDO;23;2130;6;;M2MMADE TO MEASURE;Affittacamere;2;9.20240742127;45.4816271501;45.4816271501, 9.20240742127
EA/1280;Via GRASSELLI ANNIBALE N. 11 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GRASSELLI ANNIBALE;11;3268;4;;B&B PORTA TOSA;Bed e Breakfast;4;9.22761886496;45.4614612368;45.4614612368, 9.22761886496
EA/1433;Via VARESINA N. 214 (z.d. 8) varesina 214;ATTIVITA RICETTIVE - Strutt. Extra-albergh;;;;4;;;Affittacamere;;;;
EA/1343;Viale VIGLIANI PAOLO ONORATO N. 56 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale VIGLIANI PAOLO ONORATO;56;6422;2;;;Bed e Breakfast;8;9.1450248877;45.4807125879;45.4807125879, 9.1450248877
EA/1461;Via D'ARAGONA LUDOVICO N. 10 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via D'ARAGONA LUDOVICO;10;2086;4;;;Foresteria Lombarda/Locanda;3;9.2353279457;45.4898234926;45.4898234926, 9.2353279457
EA/1463;Via PONTE SEVESO N. 40 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PONTE SEVESO;40;1203;4;;;Bed e Breakfast;2;9.20580889242;45.4902460744;45.4902460744, 9.20580889242
EA/1404;Via TENCA CARLO N. 24 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TENCA CARLO;24;2118;4;;DOMUS CAMILLUS;Affittacamere;2;9.20308642834;45.4816930198;45.4816930198, 9.20308642834
EA/1216;Via NICCOLINI GIOVANNI BATTISTA N. 20 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via NICCOLINI GIOVANNI BATTISTA;20;7129;1;;;Bed e Breakfast;1;9.1773564637;45.4812020565;45.4812020565, 9.1773564637
EA/1472;Via PORPORA NICOLA ANTONIO N. 26 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PORPORA NICOLA ANTONIO;26;2229;15;;MILANO HOSTEL;Ostello per la Gioventù;3;9.22056684784;45.4859198505;45.4859198505, 9.22056684784
EA/1232;Via MARTA (SANTA) N. 11 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MARTA (SANTA);11;562;1;;STUDIO ERREPI MILANO CORDUSIO;Affittacamere;1;9.18372932036;45.4630665274;45.4630665274, 9.18372932036
EA/1209;Via BUONARROTI MICHELANGELO N. 38 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BUONARROTI MICHELANGELO;38;6253;2;;LA STANZA DI MITA;Bed e Breakfast;8;9.15576169813;45.4714400755;45.4714400755, 9.15576169813
EA/1223;Via GIOIA MELCHIORRE N. 71 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GIOIA MELCHIORRE;71;1108;6;;;Affittacamere;2;9.20055549893;45.48940789;45.48940789, 9.20055549893
EA/1323;Via MEDA GIUSEPPE N. 43 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MEDA GIUSEPPE;43;5242;1;;;Affittacamere;5;9.17871245046;45.4403555823;45.4403555823, 9.17871245046
EA/1338;Via RUCELLAI BERNARDO N. 67 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via RUCELLAI BERNARDO;67;2345;2;;;Affittacamere;2;9.21509011586;45.5109628601;45.5109628601, 9.21509011586
EA/1276;Via CARETTA ANNIBALE N. 1 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CARETTA ANNIBALE;1;2241;4;;WBH BUENOS AIRES;Affittacamere;3;9.21599060733;45.4850964857;45.4850964857, 9.21599060733
EA/1278;Via PONCHIELLI AMILCARE N. 6 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PONCHIELLI AMILCARE;6;2142;1;;;Bed e Breakfast;3;9.21304650595;45.4809687046;45.4809687046, 9.21304650595
EA/1208;Viale DORIA ANDREA N. 37 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale DORIA ANDREA;37;2230;2;;;Bed e Breakfast;3;9.2143465625;45.486108635;45.486108635, 9.2143465625
EA/1465;Via MONTEGANI LODOVICO N. 11 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONTEGANI LODOVICO;11;5330;2;;;Foresteria Lombarda/Locanda;5;9.17833075748;45.4365015328;45.4365015328, 9.17833075748
EA/1467;Via CEZANNE PAOLO N. 1 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CEZANNE PAOLO;1;5310;8;;;Ostello per la Gioventù;6;9.16599540148;45.4465529503;45.4465529503, 9.16599540148
EA/1456;Via COMMENDA (DELLA) N. 35 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via COMMENDA (DELLA);35;3146;2;;;Foresteria Lombarda/Locanda;1;9.19941695823;45.4560292092;45.4560292092, 9.19941695823
EA/1186;Via UBERTI GIULIO N. 5 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via UBERTI GIULIO;5;3121;1;;;Bed e Breakfast;3;9.21585972177;45.4690743762;45.4690743762, 9.21585972177
EA/1377;Via NOVARA N. 363A (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via NOVARA;363A;6624;2;;;Affittacamere;7;9.09079672164;45.4820330692;45.4820330692, 9.09079672164
EA/1290;Via LEPETIT ROBERTO N. 33 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LEPETIT ROBERTO;33;2096;53;;OSTELLO BELLO GRANDE;Ostello;2;9.20547009239;45.4841819794;45.4841819794, 9.20547009239
EA/1301;Corso PORTA TICINESE (DI) N. 24 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso PORTA TICINESE (DI);24;541;6;;MY BED MONTENAPOLEONE;Affittacamere;1;9.18092298284;45.4583887867;45.4583887867, 9.18092298284
EA/1260;Via DOBERDO' N. 19 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via DOBERDO';19;2446;6;;;Affittacamere;2;9.22389977635;45.5190275647;45.5190275647, 9.22389977635
EA/1302;Via BINDA AMBROGIO N. 19 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BINDA AMBROGIO;19;5298;4;;;Affittacamere;6;9.15510045367;45.4428855541;45.4428855541, 9.15510045367
EA/1479;VIA BERGOGNONE AMBROGIO DA FOSSANO N. 34 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA BERGOGNONE AMBROGIO DA FOSSANO;34;5130;8;;;Ostello per la Gioventù;6;9.16421109613;45.4524082938;45.4524082938, 9.16421109613
EA/1337;Via MACCHI MAURO N. 50 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MACCHI MAURO;50;2133;4;;;Affittacamere;2;9.2092499471076;45.4861090199482;45.4861090199482, 9.2092499471076
EA/1420;Viale CORSICA N. 41 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale CORSICA;41;3262;2;;LA TERRAZZA;Bed e Breakfast;4;9.22954700669;45.4625119972;45.4625119972, 9.22954700669
EA/1481;marostica 40Via MAROSTICA N. 40 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;;;;2;;;Bed e Breakfast;;;;
EA/1353;Viale MICHELE DEL CARSO (SAN) N. 7 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MICHELE DEL CARSO (SAN);7;6212;2;;B&B SAN MICHELE;Bed e Breakfast;1;9.16463837554;45.4649457765;45.4649457765, 9.16463837554
EA/1371;Viale CALDARA EMILIO N. 22 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale CALDARA EMILIO;22;4036;2;;;Bed e Breakfast;1;9.20326261205;45.4546261032;45.4546261032, 9.20326261205
EA/1213;VIA BASSINI EDOARDO N. 50A (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA BASSINI EDOARDO;50A;2587;5;;;Foresteria Lombarda/Locanda;3;9.23739008304;45.4811892711;45.4811892711, 9.23739008304
EA/1218;Via LAGHETTO N. 3 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LAGHETTO;3;326;1;;LAGHETTO APARTMENT SUITE;Affittacamere;1;9.1955068533412;45.4616850359571;45.4616850359571, 9.1955068533412
EA/1172;Via GLUCK CRISTOFORO N. 5 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GLUCK CRISTOFORO;5;1215;1;;;Affittacamere;2;9.20732796086;45.4912929723;45.4912929723, 9.20732796086
EA/1261;CORSO ITALIA N. 15 Int. B (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;CORSO ITALIA;15;526;6;;SERENDIPITY ROOMS;Foresteria Lombarda/Locanda;1;9.18868812778;45.4581648097;45.4581648097, 9.18868812778
EA/1275;Via FETONTE N. 12 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FETONTE;12;6495;4;;R&B ERREPI MILANO SAN SIRO;Affittacamere;7;9.12448591169;45.481633592;45.481633592, 9.12448591169
EA/1277;Via DE CASTILLIA GAETANO N. 11 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via DE CASTILLIA GAETANO;11;1123;1;;;Affittacamere;9;9.19037315545;45.4855580523;45.4855580523, 9.19037315545
EA/1277;Via DE CASTILLIA GAETANO N. 11 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via DE CASTILLIA GAETANO;11;1123;1;;;Affittacamere;9;9.19066669966;45.4856067207;45.4856067207, 9.19066669966
EA/1344;Via VERRO BERNARDINO N. 106 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VERRO BERNARDINO;106;4223;2;;BELCASULE;Bed e Breakfast;5;9.19803919511;45.4323713433;45.4323713433, 9.19803919511
EA/1380;Via FIENO N. 8 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FIENO;8;528;1;;;Bed e Breakfast;1;9.18696767618;45.4600941316;45.4600941316, 9.18696767618
EA/1438;FORO BUONAPARTE N. 51 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;FORO BUONAPARTE;51;658;3;;a.m.f.;Foresteria Lombarda/Locanda;;;;
EA/1443;Via PARAVIA PIER ALESSANDRO N. 95 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PARAVIA PIER ALESSANDRO;95;6571;4;;B&B BECCOFINO;Bed e Breakfast;7;9.13650145074;45.4752139389;45.4752139389, 9.13650145074
EA/1263;Via FOPPA VINCENZO N. 6 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FOPPA VINCENZO;6;6109;1;;SOLARI;Bed e Breakfast;7;9.16471492831;45.4592371966;45.4592371966, 9.16471492831
EA/1315;Via CRISTIANI BELTRAME N. 21 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CRISTIANI BELTRAME;21;1698;5;;;Affittacamere;9;9.20514698264;45.5230556406;45.5230556406, 9.20514698264
EA/1319;Via ERBE (DELLE) N. 2 (z.d. 1) erbe (delle) 2;ATTIVITA RICETTIVE - Strutt. Extra-albergh;;;;4;;BRERA PRESTIGE;Affittacamere;;;;
EA/1320;Via RIPAMONTI GIUSEPPE N. 187 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via RIPAMONTI GIUSEPPE;187;4066;6;;EKOLIVING;Affittacamere;5;9.20126659741;45.4334880545;45.4334880545, 9.20126659741
EA/1321;Via PASTA GIUDITTA N. 82 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PASTA GIUDITTA;82;1583;;;AREA SOSTA CAMPER;Campeggio;9;9.17980781125;45.5237306382;45.5237306382, 9.17980781125
EA/1331;Via VITRUVIO N. 44 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VITRUVIO;44;2134;3;;44 SUITE;Affittacamere;2;9.20521723448;45.4832966215;45.4832966215, 9.20521723448
EA/1450;Viale ABRUZZI N. 86 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale ABRUZZI;86;2177;3;;belle epoque 2;Bed e Breakfast;3;9.21725671239;45.4843428585;45.4843428585, 9.21725671239
EA/1464;VIA PALMIERI NICOLA N. 21 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA PALMIERI NICOLA;21;658;2;;;Foresteria Lombarda/Locanda;;;;
EA/1477;Viale RIMEMBRANZE DI LAMBRATE (DELLE) N. 14 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale RIMEMBRANZE DI LAMBRATE (DELLE);14;2664;55;;mio ostello;Ostello per la Gioventù;3;9.23982312081;45.4821673925;45.4821673925, 9.23982312081
EA/1421;Via GIOVANNI DA PROCIDA N. 38 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GIOVANNI DA PROCIDA;38;7151;3;;;Affittacamere;8;9.1568968245;45.4839184087;45.4839184087, 9.1568968245
EA/1417;Via SARNO N. 10 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SARNO;10;1367;1;;;Bed e Breakfast;2;9.1950460143;45.4940941377;45.4940941377, 9.1950460143
EA/1354;Via VENTURA GIOVANNI N. 5 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VENTURA GIOVANNI;5;2668;1;;VENTURACINQUE;Bed e Breakfast;3;9.24333500551;45.4841629456;45.4841629456, 9.24333500551
EA/1367;Via CAPECELATRO ALFONSO N. 75 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CAPECELATRO ALFONSO;75;6575;2;;A SAN SIRO;Bed e Breakfast;7;9.12600515078;45.4737188516;45.4737188516, 9.12600515078
EA/1370;Via MONTE CENGIO N. 18 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONTE CENGIO;18;4366;1;;AL 18 B&B;Bed e Breakfast;4;9.24630183153;45.4307302967;45.4307302967, 9.24630183153
EA/1305;Via TUKORY LUIGI N. 6 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TUKORY LUIGI;6;1454;;;AREA SOSTA CAMPER;Campeggio;9;9.16029419149;45.5115915477;45.5115915477, 9.16029419149
EA/1269;Via IPPOCRATE N. 45 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via IPPOCRATE;45;1543;8;;OSTELLOLINDA;Ostello;9;9.16409264669;45.5215416558;45.5215416558, 9.16409264669
EA/1181;Via VENINI GIULIO E CORRADO N. 37 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VENINI GIULIO E CORRADO;37;2258;1;;;Bed e Breakfast;2;9.21428008165;45.4898012741;45.4898012741, 9.21428008165
EA/1188;Corso PORTA ROMANA (DI) N. 60 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso PORTA ROMANA (DI);60;402;1;;;Affittacamere;1;9.19359818464;45.4572938938;45.4572938938, 9.19359818464
EA/1194;Via BURLAMACCHI FRANCESCO N. 2 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BURLAMACCHI FRANCESCO;2;4077;4;;PORTA ROMANA APARTMENT NAVIGLI;Affittacamere;4;9.2056770401;45.4505967158;45.4505967158, 9.2056770401
EA/1202;Via MONCALVO N. 66 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONCALVO;66;6655;3;;IL VICOLO;Bed e Breakfast;7;9.14231050273;45.4623035762;45.4623035762, 9.14231050273
EA/1351;Via FIDENZA N. 1 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FIDENZA;1;4370;4;;;Affittacamere;4;9.24973799078;45.4276557321;45.4276557321, 9.24973799078
EA/1258;Via GALENO CLAUDIO N. 27 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GALENO CLAUDIO;27;2447;1;;DIAFLO B&B;Bed e Breakfast;2;9.22366993511;45.5199075067;45.5199075067, 9.22366993511
EA/1346;Via MONCALVO N. 54A (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONCALVO;54A;6655;3;;ALL'ANGOLO GIUSTO;Affittacamere;7;9.14245240621;45.462515679;45.462515679, 9.14245240621
EA/1273;Via TESIO FEDERICO N. 1 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TESIO FEDERICO;1;6471;6;;;Affittacamere;7;9.11713615596;45.4767414413;45.4767414413, 9.11713615596
EA/1408;Via MARCO BRUTO N. 1 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MARCO BRUTO;1;3322;3;;;Affittacamere;4;9.23850782348478;45.460126516972;45.460126516972, 9.23850782348478
EA/1324;Viale MURILLO SEBASTIANO BARTOLOMEO N. 44 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MURILLO SEBASTIANO BARTOLOMEO;44;6551;2;;REVOLUTION;Affittacamere;7;9.14382626394;45.4749706513;45.4749706513, 9.14382626394
